ds;y
2009-08-11_04;0.503235772
2009-08-11_05;0.509369919
2009-08-11_06;0.522575203
2009-08-11_07;0.620522358
2009-08-11_08;0.796160569
2009-08-11_09;1.023623984
2009-08-11_10;1.154760163
2009-08-11_11;1.262351626
2009-08-11_12;1.384552846
2009-08-11_13;1.453615854
2009-08-11_14;1.402067073
2009-08-11_15;1.306739837
2009-08-11_16;1.347737805
2009-08-11_17;1.505231707
2009-08-11_18;1.515002033
2009-08-11_19;1.419800813
2009-08-11_20;1.436989837
2009-08-11_21;1.546756098
2009-08-11_23;1.499863821
2009-08-12_00;1.089457317
2009-08-12_01;0.789792683
2009-08-12_02;0.629843496
2009-08-12_03;0.556371951
2009-08-12_04;0.535239837
2009-08-12_05;0.513099593
2009-08-12_06;0.543558943
2009-08-12_07;0.624436992
2009-08-12_08;0.844989837
2009-08-12_09;1.037432927
2009-08-12_10;1.322022358
2009-08-12_11;1.343682927
2009-08-12_12;1.280028455
2009-08-12_13;1.419300813
2009-08-12_14;1.330536585
2009-08-12_15;1.389262195
2009-08-12_16;1.349530488
2009-08-12_17;1.450052846
2009-08-12_18;1.455012195
2009-08-12_19;1.411182927
2009-08-12_20;1.381034553
2009-08-12_21;1.536995935
2009-08-12_22;1.652839431
2009-08-12_23;1.43799187
2009-08-13_01;0.792796748
2009-08-13_02;0.593313008
2009-08-13_03;0.543067073
2009-08-13_04;0.499227642
2009-08-13_05;0.50550813
2009-08-13_06;0.527063008
2009-08-13_07;0.584526423
2009-08-13_08;0.770252033
2009-08-13_10;1.215869919
2009-08-13_11;1.271378049
2009-08-13_12;1.332961382
2009-08-13_13;1.537607724
2009-08-13_14;1.355191057
2009-08-13_15;1.29596748
2009-08-13_16;1.301955285
2009-08-13_17;1.359512195
2009-08-13_18;1.475384146
2009-08-13_19;1.384158537
2009-08-13_20;1.265126016
2009-08-13_21;1.406014228
2009-08-13_22;1.53000813
2009-08-13_23;1.456672764
2009-08-14_00;1.160577236
2009-08-14_01;0.812002033
2009-08-14_02;0.629794715
2009-08-14_03;0.578103659
2009-08-14_04;0.523642276
2009-08-14_05;0.499648374
2009-08-14_06;0.537609756
2009-08-14_07;0.614806911
2009-08-14_08;0.798697154
2009-08-14_09;1.026010163
2009-08-14_10;1.164847561
2009-08-14_11;1.301835366
2009-08-14_13;1.514851626
2009-08-14_14;1.473886179
2009-08-14_15;1.321977642
2009-08-14_16;1.343193089
2009-08-14_17;1.453585366
2009-08-14_19;1.405020325
2009-08-14_20;1.352981707
2009-08-14_21;1.566436992
2009-08-14_22;1.60649187
2009-08-14_23;1.496221545
2009-08-15_02;0.669979675
2009-08-15_03;0.591353659
2009-08-15_04;0.552662602
2009-08-15_05;0.517205285
2009-08-15_06;0.514567073
2009-08-15_07;0.556126016
2009-08-15_08;0.678252033
2009-08-15_09;0.954465447
2009-08-15_10;1.260146341
2009-08-15_11;1.401026423
2009-08-15_13;1.583054878
2009-08-15_14;1.534386179
2009-08-15_15;1.476932927
2009-08-15_16;1.382030488
2009-08-15_17;1.443335366
2009-08-15_18;1.482002033
2009-08-15_19;1.389223577
2009-08-15_20;1.258731707
2009-08-15_21;1.43100813
2009-08-15_22;1.529148374
2009-08-15_23;1.380796748
2009-08-16_00;1.11321748
2009-08-16_01;0.866142276
2009-08-16_02;0.699932927
2009-08-16_03;0.598985772
2009-08-16_04;0.544711382
2009-08-16_05;0.54123374
2009-08-16_06;0.533067073
2009-08-16_07;0.516052846
2009-08-16_08;0.644367886
2009-08-16_09;0.889815041
2009-08-16_10;1.194227642
2009-08-16_11;1.541514228
2009-08-16_12;1.723908537
2009-08-16_13;1.840914634
2009-08-16_14;1.624333333
2009-08-16_15;1.501930894
2009-08-16_16;1.358071138
2009-08-16_17;1.239144309
2009-08-16_18;1.159772358
2009-08-16_20;1.242910569
2009-08-16_21;1.414036585
2009-08-16_22;1.502264228
2009-08-16_23;1.366707317
2009-08-17_00;1.097871951
2009-08-17_01;0.805865854
2009-08-17_02;0.635497967
2009-08-17_03;0.539191057
2009-08-17_04;0.501152439
2009-08-17_05;0.504341463
2009-08-17_06;0.515394309
2009-08-17_07;0.583845528
2009-08-17_08;0.742713415
2009-08-17_12;1.412378049
2009-08-17_13;1.595371951
2009-08-17_14;1.412424797
2009-08-17_15;1.324695122
2009-08-17_16;1.268256098
2009-08-17_17;1.333136179
2009-08-17_18;1.374252033
2009-08-17_19;1.306180894
2009-08-17_20;1.296638211
2009-08-17_21;1.475841463
2009-08-17_22;1.572400407
2009-08-17_23;1.433768293
2009-08-18_00;1.095436992
2009-08-18_01;0.794369919
2009-08-18_02;0.625262195
2009-08-18_03;0.53627439
2009-08-18_04;0.492278455
2009-08-18_05;0.506518293
2009-08-18_06;0.510969512
2009-08-18_07;0.610365854
2009-08-18_08;0.753825203
2009-08-18_09;0.993432927
2009-08-18_10;1.175603659
2009-08-18_11;1.296922764
2009-08-18_12;1.353882114
2009-08-18_13;1.557965447
2009-08-18_14;1.399865854
2009-08-18_15;1.354802846
2009-08-18_17;1.31647561
2009-08-18_18;1.444898374
2009-08-18_20;1.291144309
2009-08-18_21;1.539890244
2009-08-18_22;1.674079268
2009-08-18_23;1.469123984
2009-08-19_00;1.084780488
2009-08-19_01;0.804865854
2009-08-19_02;0.617605691
2009-08-19_03;0.542577236
2009-08-19_04;0.510447154
2009-08-19_05;0.512764228
2009-08-19_06;0.554463415
2009-08-19_07;0.647252033
2009-08-19_08;0.777406504
2009-08-19_09;0.99095122
2009-08-19_10;1.162713415
2009-08-19_11;1.248817073
2009-08-19_12;1.365863821
2009-08-19_13;1.476126016
2009-08-19_14;1.344109756
2009-08-19_15;1.306644309
2009-08-19_16;1.401119919
2009-08-19_17;1.380254065
2009-08-19_18;1.549502033
2009-08-19_19;1.413178862
2009-08-19_20;1.403664634
2009-08-19_21;1.577461382
2009-08-19_22;1.531906504
2009-08-19_23;1.378069106
2009-08-20_00;1.066006098
2009-08-20_01;0.76602439
2009-08-20_02;0.622780488
2009-08-20_03;0.538813008
2009-08-20_04;0.501666667
2009-08-20_05;0.491955285
2009-08-20_06;0.512229675
2009-08-20_07;0.65026626
2009-08-20_08;0.836091463
2009-08-20_10;1.193843496
2009-08-20_11;1.273469512
2009-08-20_12;1.408361789
2009-08-20_13;1.47597561
2009-08-20_14;1.363146341
2009-08-20_15;1.273886179
2009-08-20_16;1.307609756
2009-08-20_17;1.426329268
2009-08-20_18;1.424886179
2009-08-20_19;1.331863821
2009-08-20_20;1.279928862
2009-08-20_21;1.449428862
2009-08-20_22;1.640621951
2009-08-20_23;1.401660569
2009-08-21_01;0.774802846
2009-08-21_02;0.60399187
2009-08-21_03;0.559528455
2009-08-21_04;0.498609756
2009-08-21_05;0.490400407
2009-08-21_06;0.511884146
2009-08-21_07;0.594638211
